,City,Cloud Cover,Country,Dates,Humidity,Lat,Long,Highest Temp,Wind Speed
0,anadyr,90,RU,1569722399,93,64.73,177.51,37.4,6.71
1,atuona,0,PF,1569722399,73,-9.8,-139.03,79.95,10.71
2,saint-georges,92,CA,1569722132,97,46.12,-70.67,60.01,1.01
3,birao,100,CF,1569722399,96,10.3,22.78,71.63,6.15
4,leningradskiy,98,RU,1569722400,76,69.38,178.42,38.33,4.56
5,palu,33,ID,1569722400,66,-0.9,119.87,84.14,5.57
6,mahebourg,40,MU,1569722400,83,-20.41,57.7,72.0,9.17
7,ushuaia,90,AR,1569722258,75,-54.81,-68.31,44.6,3.96
8,ahipara,67,NZ,1569722401,80,-35.17,173.16,59.52,15.59
9,bambous virieux,40,MU,1569722401,83,-20.26,57.41,72.0,9.17
10,rikitea,6,PF,1569722402,86,-23.12,-134.97,73.32,11.18
11,mataura,62,NZ,1569722403,66,-46.19,168.86,57.0,11.01
12,vaini,40,IN,1569722404,94,15.34,74.49,68.0,2.44
13,busselton,0,AU,1569722405,44,-33.64,115.35,72.0,7.74
14,nemuro,75,JP,1569722406,100,43.32,145.57,59.0,3.36
15,northview,1,US,1569722406,88,37.29,-93.0,77.0,10.29
16,hilo,90,US,1569722407,66,19.71,-155.08,86.0,11.41
17,mys shmidta,86,RU,1569722407,93,62.06,48.62,32.26,7.78
18,marechal deodoro,0,AR,1569722408,68,-31.4,-64.21,73.99,5.82
19,half moon bay,75,LR,1569722409,94,6.38,-10.7,77.0,2.51
20,nechi,79,CO,1569722409,93,5.59,-75.16,60.01,2.08
21,alice springs,100,ZA,1569722410,85,-32.79,26.83,61.82,1.88
22,petauke,44,ZM,1569722410,25,-14.25,31.33,62.59,4.63
23,tiksi,1,RU,1569722411,71,71.64,128.87,30.82,6.98
24,atocha,0,AR,1569722411,43,-24.82,-65.48,75.2,1.81
25,cape town,0,CL,1569722412,76,-36.41,-71.9,53.6,6.93
26,grand river south east,75,FR,1569722412,76,48.39,5.49,55.4,11.41
27,puerto ayora,90,AR,1569722412,81,-51.62,-69.23,42.8,13.87
28,huanren,0,CN,1569722413,54,41.26,125.37,73.83,5.03
29,tallahassee,75,US,1569722334,88,30.44,-84.28,82.99,3.47
30,lagoa,0,PT,1569722413,72,37.14,-8.45,68.0,7.81
31,kadom,83,RU,1569722413,78,54.57,42.47,40.02,4.74
32,tasiilaq,0,GL,1569722414,60,65.61,-37.64,42.8,3.36
33,saskylakh,56,RU,1569722414,65,71.97,114.09,30.0,4.65
34,tarata,75,PE,1569722414,87,-17.47,-70.03,55.4,9.17
35,nouadhibou,0,MR,1569722415,88,20.93,-17.03,68.0,16.11
36,new norfolk,75,LR,1569722415,94,6.65,-10.59,77.0,2.51
37,dikson,93,RU,1569722415,91,73.51,80.55,30.9,8.1
38,butaritari,100,KI,1569722416,68,3.07,172.79,84.61,7.23
39,sao joao da barra,100,IN,1569722416,81,20.51,76.21,75.86,3.13
40,kruisfontein,100,ZA,1569722417,89,-34.0,24.73,60.22,5.1
41,pitimbu,40,BR,1569722417,83,-7.47,-34.81,77.0,3.36
42,lima,90,PE,1569722402,88,-12.06,-77.04,62.6,10.29
43,albany,90,US,1569722127,93,42.65,-73.75,72.0,8.05
44,longyearbyen,75,NO,1569722418,63,78.22,15.63,26.6,16.11
45,nikolskoye,40,RU,1569722418,100,59.7,30.79,44.01,6.71
46,arona,20,IT,1569722419,100,45.76,8.56,64.99,5.82
47,kavieng,5,PG,1569722419,63,-2.57,150.8,83.87,4.25
48,san patricio,0,ML,1569722419,60,13.3,-4.9,80.65,8.84
49,belmonte,0,PT,1569722420,69,40.36,-7.35,54.0,2.71
50,geraldton,75,CA,1569722420,69,49.72,-86.95,37.4,4.18
51,strelka,96,RU,1569722420,80,58.08,93.03,38.51,6.87
52,pisco,90,PE,1569722420,88,-13.71,-76.2,62.6,12.75
53,sitka,42,US,1569722421,78,37.17,-99.65,70.0,13.0
54,lebu,75,ET,1569722421,82,8.96,38.73,57.2,3.36
55,nanortalik,87,GL,1569722421,76,60.14,-45.24,40.99,1.19
56,richards bay,1,US,1569722422,57,46.84,-95.91,53.6,9.17
57,punta arenas,40,PH,1569722422,79,14.18,121.12,87.01,13.87
58,tuktoyaktuk,75,CA,1569722423,71,69.44,-133.03,37.4,8.05
59,yellowknife,20,CA,1569722423,55,62.45,-114.38,37.4,2.24
60,pangnirtung,100,CA,1569722423,92,66.15,-65.72,35.92,4.0
61,faanui,5,PF,1569722424,84,-16.48,-151.75,78.18,17.07
62,sioux lookout,1,US,1569722424,93,46.74,-90.88,50.0,5.17
63,khatanga,65,RU,1569722424,59,71.98,102.47,31.49,5.93
64,adre,2,TD,1569722425,69,13.47,22.2,74.73,6.91
65,ariquemes,100,BR,1569722425,86,-9.91,-63.03,71.94,1.88
66,balabac,100,PH,1569722425,60,7.99,117.06,88.01,2.44
67,carnarvon,100,ZA,1569722426,34,-30.97,22.13,59.41,3.85
68,auki,32,NG,1569722426,84,12.18,6.51,74.6,11.14
69,padang,100,ID,1569722426,85,-0.92,100.36,78.85,14.92
70,bubaque,34,GW,1569722427,79,11.28,-15.83,80.68,8.57
71,yerbogachen,100,RU,1569722427,95,61.28,108.01,33.16,10.25
72,langfang,0,CN,1569722427,64,39.51,116.7,82.0,2.24
73,berlevag,100,NO,1569722428,70,70.86,29.09,37.27,10.11
74,monte cristi,20,FR,1569722428,82,42.47,9.39,70.0,4.7
75,avarua,40,CK,1569722429,73,-21.21,-159.78,75.2,11.41
76,iki-burul,1,RU,1569722429,76,45.82,44.65,51.8,3.13
77,hermanus,100,ZA,1569722429,92,-34.42,19.24,63.0,3.0
78,alexandria,0,RO,1569722283,77,43.97,25.33,50.0,1.01
79,bluff,0,AU,1569722430,29,-23.58,149.07,87.61,3.47
80,port lincoln,67,CD,1569722430,55,-7.04,29.76,64.16,3.31
81,mount gambier,75,GB,1569722430,93,53.66,-1.85,55.0,11.41
82,torbay,90,CA,1569722431,93,47.66,-52.73,51.01,2.24
83,thinadhoo,78,MV,1569722431,69,0.53,72.93,83.15,8.59
84,burns lake,90,US,1569722431,65,43.59,-119.05,41.0,14.99
85,bathsheba,20,BB,1569722431,78,13.22,-59.52,82.4,11.41
86,nowy dwor gdanski,40,RU,1569722432,100,54.75,20.62,63.0,6.71
87,tecoanapa,90,MX,1569722432,83,16.99,-99.26,78.8,23.04
88,harper,40,US,1569722433,78,30.3,-99.24,82.0,11.41
89,port alfred,67,CD,1569722433,55,-7.04,29.76,64.16,3.31
90,arraial do cabo,0,BR,1569722434,77,-22.84,-46.65,60.8,14.99
91,cafarnaum,88,BR,1569722434,82,-11.69,-41.47,68.68,9.33
92,hithadhoo,82,MV,1569722434,72,-0.6,73.08,83.24,11.61
93,namibe,98,AO,1569722434,88,-15.19,12.15,67.56,9.22
94,katwa,100,IN,1569722327,95,23.64,88.13,74.17,8.41
95,carauari,62,BR,1569722435,81,-4.88,-66.9,76.2,0.54
96,kalach-na-donu,0,RU,1569722435,62,48.69,43.52,51.8,6.71
97,khilok,56,RU,1569722436,49,51.36,110.46,54.28,2.71
98,hobart,40,AU,1569722191,43,-42.88,147.33,55.4,14.99
99,santa fe,100,PH,1569722436,76,17.49,120.43,82.83,2.08
100,nizhniy kuranakh,90,RU,1569722437,100,45.39,39.24,53.6,2.24
101,rumphi,69,MW,1569722437,69,-11.02,33.86,59.17,4.03
102,katobu,22,ID,1569722438,43,-4.94,122.53,88.95,9.37
103,magnolia,1,US,1569722438,61,33.27,-93.24,84.2,4.88
104,georgetown,75,GY,1569722438,88,6.8,-58.16,80.6,4.7
105,komsomolskiy,100,RU,1569722439,95,67.55,63.78,29.89,13.82
106,sao gabriel da cachoeira,100,IN,1569722439,81,20.51,76.21,75.86,3.13
107,isla mujeres,97,MX,1569722439,85,18.03,-95.53,78.01,7.0
108,saldanha,25,PT,1569722440,51,41.42,-6.55,57.54,2.37
109,suntar,100,RU,1569722440,64,62.16,117.65,40.04,8.25
110,katesh,65,TZ,1569722440,78,-4.52,35.39,56.87,6.13
111,pergamino,0,AR,1569722441,58,-33.9,-60.57,66.0,1.99
112,flinders,91,AU,1569722441,42,-34.58,150.85,72.0,5.82
113,kaitangata,97,NZ,1569722441,66,-46.28,169.85,57.0,7.0
114,villarrica,75,CL,1569722441,81,-39.28,-72.23,53.6,3.36
115,bredasdorp,100,ZA,1569722442,88,-34.53,20.04,63.0,11.41
116,provideniya,100,RU,1569722442,80,64.42,-173.23,44.25,3.44
117,bethel,90,US,1569722442,93,60.79,-161.76,51.8,6.93
118,cheney,90,US,1569722246,86,47.49,-117.58,37.4,17.22
119,pontianak,69,ID,1569722443,72,-0.02,109.34,81.76,3.33
120,olot,20,ES,1569722444,93,42.18,2.49,69.01,1.12
